ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_EDIFICIOS_CLASSICOS;N_EDIFICIOS_CLASSICOS_1OU2;N_EDIFICIOS_CLASSICOS_ISOLADOS ;N_EDIFICIOS_CLASSICOS_GEMIN;N_EDIFICIOS_CLASSICOS_EMBANDA;N_EDIFICIOS_CLASSICOS_3OUMAIS;N_EDIFICIOS_CLASSICOS_OUTROS;N_EDIFICIOS_EXCLUSIV_RESID;N_EDIFICIOS_PRINCIPAL_RESID;N_EDIFICIOS_PRINCIP_NAO_RESID;N_EDIFICIOS_1OU2_PISOS;N_EDIFICIOS_3OU4_PISOS;.N_EDIFICIOS_5OU_MAIS_PISOS;N_EDIFICIOS_CONSTR_ANTES_1919;N_EDIFICIOS_CONSTR_1919A1945;N_EDIFICIOS_CONSTR_1946A1960;N_EDIFICIOS_CONSTR_1961A1970;N_EDIFICIOS_CONSTR_1971A1980;N_EDIFICIOS_CONSTR_1981A1990;N_EDIFICIOS_CONSTR_1991A1995;N_EDIFICIOS_CONSTR_1996A2000;N_EDIFICIOS_CONSTR_2001A2005;N_EDIFICIOS_CONSTR_2006A2011;N_EDIFICIOS_ESTRUT_BETAO;N_EDIFICIOS_ESTRUT_COM_PLACA;N_EDIFICIOS_ESTRUT_SEM_PLACA;N_EDIFICIOS_ESTRUT_ADOBE_PEDRA;N_EDIFICIOS_ESTRUT_OUTRA;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS;N_RES_HABITUAL_COM_AGUA;N_RES_HABITUAL_COM_RETRETE;N_RES_HABITUAL_COM_ESGOTOS;N_RES_HABITUAL_COM_BANHO;N_RES_HABITUAL_AREA_50;N_RES_HABITUAL_AREA_50_100;N_RES_HABITUAL_AREA_100_200;N_RES_HABITUAL_AREA_200;N_RES_HABITUAL_1_2_DIV;N_RES_HABITUAL_3_4_DIV;N_RES_HABITUAL_ESTAC_1;N_RES_HABITUAL_ESTAC_2;N_RES_HABITUAL_ESTAC_3;N_RES_HABITUAL_PROP_OCUP;N_RES_HABITUAL_ARREND;N_FAMILIAS_CLASSICAS;N_FAMILIAS_INSTITUCIONAIS;N_FAMILIAS_CLASSICAS_1OU2_PESS;N_FAMILIAS_CLASSICAS_3OU4_PESS;N_FAMILIAS_CLASSICAS_NPES65;N_FAMILIAS_CLASSICAS_NPES14;N_FAMILIAS_CLASSIC_SEM_DESEMP;N_FAMILIAS_CLASSIC_1DESEMPREG;N_FAMILIAS_CLASS_2MAIS_DESEMP;N_NUCLEOS_FAMILIARES;N_NUCLEOS_1FILH_NAO_CASADO;N_NUCLEOS_2FILH_NAO_CASADO;N_NUCLEOS_FILH_INF_6ANOS;N_NUCLEOS_FILH_INF_15ANOS;N_NUCLEOS_FILH_MAIS_15ANOS;N_INDIVIDUOS_PRESENT;N_INDIVIDUOS_PRESENT_H;N_INDIVIDUOS_PRESENT_M;N_INDIVIDUOS_RESIDENT;N_INDIVIDUOS_RESIDENT_H;N_INDIVIDUOS_RESIDENT_M;N_INDIVIDUOS_RESIDENT_0A4;N_INDIVIDUOS_RESIDENT_5A9;N_INDIVIDUOS_RESIDENT_10A13;N_INDIVIDUOS_RESIDENT_14A19;N_INDIVIDUOS_RESIDENT_15A19;N_INDIVIDUOS_RESIDENT_20A24;N_INDIVIDUOS_RESIDENT_20A64;N_INDIVIDUOS_RESIDENT_25A64;N_INDIVIDUOS_RESIDENT_65;N_INDIVIDUOS_RESIDENT_H_0A4;N_INDIVIDUOS_RESIDENT_H_5A9;N_INDIVIDUOS_RESIDENT_H_10A13;N_INDIVIDUOS_RESIDENT_H_14A19;N_INDIVIDUOS_RESIDENT_H_15A19;N_INDIVIDUOS_RESIDENT_H_20A24;N_INDIVIDUOS_RESIDENT_H_20A64;N_INDIVIDUOS_RESIDENT_H_25A64;N_INDIVIDUOS_RESIDENT_H_65;N_INDIVIDUOS_RESIDENT_M_0A4;N_INDIVIDUOS_RESIDENT_M_5A9;N_INDIVIDUOS_RESIDENT_M_10A13;N_INDIVIDUOS_RESIDENT_M_14A19;N_INDIVIDUOS_RESIDENT_M_15A19;N_INDIVIDUOS_RESIDENT_M_20A24;N_INDIVIDUOS_RESIDENT_M_20A64;N_INDIVIDUOS_RESIDENT_M_25A64;N_INDIVIDUOS_RESIDENT_M_65;N_INDIV_RESIDENT_N_LER_ESCRV;N_IND_RESIDENT_FENSINO_1BAS;N_IND_RESIDENT_FENSINO_2BAS;N_IND_RESIDENT_FENSINO_3BAS;N_IND_RESIDENT_FENSINO_SEC;N_IND_RESIDENT_FENSINO_POSSEC;N_IND_RESIDENT_FENSINO_SUP;N_IND_RESIDENT_ENSINCOMP_1BAS;N_IND_RESIDENT_ENSINCOMP_2BAS;N_IND_RESIDENT_ENSINCOMP_3BAS;N_IND_RESIDENT_ENSINCOMP_SEC;N_IND_RESIDENT_ENSINCOMP_POSEC;N_IND_RESIDENT_ENSINCOMP_SUP;N_IND_RESID_DESEMP_PROC_1EMPRG;N_IND_RESID_DESEMP_PROC_EMPRG;N_IND_RESID_EMPREGADOS;N_IND_RESID_PENS_REFORM;N_IND_RESID_SEM_ACT_ECON;N_IND_RESID_EMPREG_SECT_PRIM;N_IND_RESID_EMPREG_SECT_SEQ;N_IND_RESID_EMPREG_SECT_TERC;N_IND_RESID_ESTUD_MUN_RESID;N_IND_RESID_TRAB_MUN_RESID;
2011;'PT;PT;1;Total Nacional;3544389;3219791;1946604;542393;730794;283879;40719;3305062;213090;26237;3007616;432760;104013;206343;305696;387340;408831;588858;578845;268179;290292;300635;209370;1721109;1123774;481115;189072;29319;5878756;5866152;5859540;6612;12604;3991112;3997724;735128;3967328;3963079;3972819;3914531;395010;1656650;1630491;308961;92320;1531517;1283216;603213;267292;2923271;794465;4043726;4833;2144385;1636847;1374122;1114193;3465446;504233;74047;3226371;1222547;717936;509986;1105066;1247713;10282306;4868755;5413551;10562178;5046600;5515578;482647;525087;453728;676117;565250;582065;6414535;5832470;2010064;246396;268965;231797;345366;288525;293023;3111752;2818729;842324;236251;256122;221931;330751;276725;289042;3302783;3013741;1167740;499936;477565;269275;423199;423925;20437;379708;2688308;1412580;1716970;1411801;88023;1244742;122310;539870;4361187;2339094;3966482;133386;1154709;3073092;1773245;2860521;
2011;'1;Continente;2;NUT1;3353610;3035969;1820486;516785;698698;278222;39419;3121458;207292;24860;2837161;414564;101885;195169;288132;365612;390633;565368;546632;253730;272578;280855;194901;1599434;1098244;449413;178421;28098;5639257;5627555;5621098;6457;11702;3818574;3825031;704054;3795218;3791499;3800597;3744843;375514;1589794;1561429;291837;86278;1464798;1227153;576363;253646;2787428;769768;3869188;4579;2067662;1561048;1322168;1055022;3317385;481877;69926;3077900;1165089;680153;482354;1045429;1182662;9769564;4622125;5147439;10047621;4798798;5248823;456396;495578;427720;636083;531657;547836;6094056;5546220;1937788;232951;253866;218552;324869;271397;275607;2953606;2677999;814954;223445;241712;209168;311214;260260;272229;3140450;2868221;1122834;472919;447944;252148;398953;402148;19148;365049;2552130;1329508;1638624;1355254;83485;1198453;114999;515712;4150252;2257145;3782538;121055;1115357;2913840;1669455;2697144;
2011;'11;Norte;3;NUT2;1209911;1118014;744666;200722;172626;80452;11445;1116665;85088;8158;1025944;156160;27807;71817;87996;112397;133424;206637;216376;100530;104083;103963;72688;597409;399887;162483;40729;9403;1850890;1847784;1846589;1195;3106;1319665;1320860;202431;1309649;1309616;1312169;1286675;115891;495905;591224;116645;26615;451462;535743;255715;104671;952287;269178;1330892;1235;619531;606196;433272;402952;1110498;190183;30211;1133106;444543;274565;175937;399817;471561;3583442;1695397;1888045;3689682;1766260;1923422;163398;185453;166667;253792;212077;213799;2288933;2075134;631439;83422;94577;85491;129570;108207;107325;1109290;1001965;263910;79976;90876;81176;124222;103870;106474;1179643;1073169;367529;167451;168747;98335;158704;152953;6650;128913;1018389;563972;578950;437916;26221;375392;46644;207538;1501883;768566;1376384;43023;533848;925012;631487;1008020;
2011;'118;Alto Trás-os-Montes;4;NUT3;127220;123194;66466;26515;30213;3378;648;116407;10038;775;111979;13985;1256;7246;8900;11286;14503;25198;24046;10359;9218;9464;7000;53609;46859;18953;6844;955;150758;150341;150273;68;417;80923;80991;13832;80416;79539;80457;78792;4847;27305;40820;7951;1408;18543;26984;14074;6968;69622;7449;81245;136;47505;29412;37894;16504;73105;7194;946;63450;22166;12126;6949;16212;24235;199352;95444;103908;204381;98261;106120;6420;7639;6980;11621;9797;10235;114755;104520;56966;3273;3832;3632;5836;4903;5044;56704;51660;24984;3147;3807;3348;5785;4894;5191;58051;52860;31982;19472;6973;4131;6955;7089;464;7110;64137;24552;26866;22356;1194;18986;2546;6669;68441;63100;103862;7725;13567;47149;29828;58694;
2011;'1706;Montalegre;5;Municipio;10157;10036;5656;2176;2204;70;51;8929;1147;81;9291;844;22;1051;879;1193;1081;1700;1676;741;719;579;538;3414;4072;1841;632;198;10555;10521;10521;0;34;4222;4222;931;4154;4070;4156;4010;372;1688;1697;465;138;1171;1161;580;369;3822;122;4232;4;2600;1307;2349;692;3879;323;30;3161;1020;598;258;672;1312;10240;4960;5280;10537;5096;5441;240;314;348;602;501;478;5552;5074;3481;122;147;184;309;254;228;2790;2562;1544;118;167;164;293;247;250;2762;2512;1937;1471;290;219;369;282;12;264;3755;1288;1134;951;39;585;141;246;3098;3866;6049;692;604;1802;1235;2741;
2011;'170601;Cabril;6;Freguesia;433;431;301;130;0;1;1;428;2;3;380;52;1;84;71;34;31;54;60;23;24;36;16;21;312;72;27;1;440;439;439;0;1;212;212;0;209;204;209;199;44;89;66;13;13;50;50;32;15;204;2;212;1;128;67;116;35;195;17;0;158;49;28;15;35;62;518;251;267;553;265;288;16;19;16;27;25;22;281;259;194;9;8;8;19;17;11;137;126;84;7;11;8;8;8;11;144;133;110;93;17;14;23;16;1;9;206;76;46;33;1;22;6;11;146;222;337;31;50;65;73;107;
2011;'170602;Cambeses do Rio;6;Freguesia;154;154;45;0;109;0;0;18;136;0;133;21;0;5;7;2;17;10;24;10;27;33;19;94;21;16;23;0;154;154;154;0;0;59;59;16;58;54;58;53;28;20;9;2;9;23;12;3;3;56;0;59;0;44;11;43;5;57;2;0;42;5;7;3;5;9;129;58;71;130;58;72;4;3;3;6;5;3;57;54;57;2;0;2;3;3;2;24;22;27;2;3;1;3;2;1;33;32;30;24;3;1;3;3;0;1;50;13;8;11;0;2;0;2;34;64;83;14;2;18;11;34;
2011;'170603;Cervos;6;Freguesia;280;280;176;20;84;0;0;232;46;2;280;0;0;25;23;49;18;25;46;21;25;28;20;107;92;73;8;0;280;280;280;0;0;107;107;10;105;96;105;95;5;49;51;2;1;59;18;18;7;98;0;107;0;59;38;65;15;91;14;2;77;31;15;5;15;40;268;137;131;271;137;134;3;10;8;15;14;19;150;131;85;1;4;4;11;11;11;79;68;38;2;6;4;4;3;8;71;63;47;45;9;4;5;3;0;6;123;20;21;30;0;11;5;13;91;96;140;29;21;41;23;79;
2011;'170604;Chã;6;Freguesia;751;741;447;84;210;1;9;723;22;6;722;29;0;75;80;115;47;120;128;55;48;43;40;253;243;254;1;0;752;742;742;0;10;293;293;33;287;276;287;273;13;85;93;102;10;67;60;56;32;256;2;293;0;169;101;134;59;248;43;2;230;80;43;20;59;100;752;371;381;748;366;382;21;28;38;44;37;35;429;394;188;16;12;19;20;16;20;213;193;86;5;16;19;24;21;15;216;201;102;90;26;20;40;18;0;22;242;124;80;54;6;45;20;27;240;206;367;71;50;119;117;223;
2011;'170605;Contim;6;Freguesia;139;139;84;41;14;0;0;98;41;0;130;9;0;34;12;5;7;19;12;14;17;13;6;30;41;31;33;4;139;139;139;0;0;40;40;2;39;35;39;35;3;18;18;1;4;16;2;7;4;40;0;40;0;26;14;25;6;37;3;0;29;13;3;1;5;11;79;40;39;87;43;44;1;2;3;4;4;4;43;39;34;1;1;3;2;2;2;20;18;16;0;1;0;2;2;2;23;21;18;16;3;2;0;3;0;4;30;9;6;7;0;2;1;2;22;33;56;14;3;5;8;21;
2011;'170606;Covelães;6;Freguesia;169;168;70;69;29;1;0;76;92;1;142;27;0;17;42;18;8;16;23;8;16;11;10;4;112;46;7;0;171;170;170;0;1;62;62;4;60;58;60;57;4;30;25;3;5;20;13;11;6;56;0;63;0;44;17;41;6;61;2;0;44;19;5;1;6;22;121;63;58;135;69;66;1;0;6;6;5;3;70;67;52;1;0;4;3;3;1;38;37;23;0;0;2;3;2;2;32;30;29;21;0;4;3;4;1;3;74;12;9;10;0;2;0;2;43;57;82;12;3;28;10;41;
2011;'170607;Covelo do Gerês;6;Freguesia;165;165;141;22;2;0;0;158;4;3;164;1;0;24;7;7;35;32;23;12;10;7;8;3;118;31;13;0;165;165;165;0;0;73;73;26;68;65;68;65;11;31;29;2;1;16;20;9;5;72;0;73;0;45;18;42;12;64;8;1;56;17;10;6;12;26;187;95;92;194;99;95;5;3;5;15;10;16;108;92;58;2;2;3;6;3;11;58;47;28;3;1;2;9;7;5;50;45;30;26;2;3;10;6;1;2;80;22;24;15;1;7;2;9;47;65;118;6;22;19;25;38;
2011;'170608;Donões;6;Freguesia;90;90;53;17;20;0;0;89;1;0;73;17;0;3;5;3;15;35;23;2;0;2;2;24;50;2;14;0;90;90;90;0;0;27;27;10;27;27;27;26;2;6;15;4;2;11;16;1;1;27;0;27;0;18;8;13;6;27;0;0;19;5;6;2;6;7;60;28;32;62;30;32;3;1;2;5;1;2;33;31;18;1;1;0;3;1;0;17;17;8;2;0;2;2;0;2;16;14;10;3;1;0;6;2;0;0;25;7;11;6;0;1;0;0;16;22;36;4;3;9;10;16;
2011;'170609;Ferral;6;Freguesia;349;346;279;67;0;2;1;337;2;10;338;11;0;64;49;65;31;61;43;10;15;10;1;30;208;109;0;2;357;357;357;0;0;163;163;4;158;155;158;149;4;70;78;11;1;37;36;26;7;159;0;163;0;104;45;93;24;148;11;4;121;34;22;13;22;45;387;182;205;397;188;209;8;13;11;28;23;15;211;196;126;4;5;6;13;10;6;101;95;59;4;8;5;15;13;9;110;101;67;62;8;14;15;9;0;8;152;68;42;24;1;15;8;11;88;167;253;11;21;56;55;72;
2011;'170610;Fervidelas;6;Freguesia;136;136;57;78;1;0;0;102;34;0;126;10;0;20;11;18;19;17;20;9;5;11;6;57;23;25;31;0;137;137;137;0;0;31;31;6;30;29;30;26;4;16;7;4;4;9;4;5;5;20;0;31;0;15;10;23;6;31;0;0;24;10;6;1;6;12;86;41;45;87;42;45;1;2;3;4;3;2;45;43;32;0;1;2;2;1;1;25;24;12;1;1;1;2;2;1;20;19;20;19;1;1;4;1;0;1;25;19;7;3;0;1;0;0;24;37;56;13;5;6;9;23;
2011;'170611;Fiães do Rio;6;Freguesia;120;120;74;0;46;0;0;97;23;0;93;27;0;39;2;3;2;11;42;9;5;2;5;79;1;38;1;1;120;120;120;0;0;33;33;8;33;33;33;32;1;11;16;5;1;2;13;1;3;30;0;33;0;23;6;21;4;29;4;0;23;5;2;0;4;7;75;34;41;76;36;40;0;2;3;6;6;1;34;33;31;0;1;0;5;5;0;16;16;14;0;1;3;1;1;1;18;17;17;10;2;2;4;2;0;0;34;11;5;2;0;0;3;1;9;36;58;1;4;4;7;8;
2011;'170612;Gralhas;6;Freguesia;353;333;77;35;221;0;20;338;15;0;345;8;0;0;34;75;95;68;36;8;11;19;7;24;284;36;9;0;353;353;353;0;0;112;112;39;110;108;110;108;13;71;25;3;5;39;46;10;4;103;1;112;0;95;17;72;6;107;5;0;73;14;2;2;6;10;227;109;118;208;98;110;1;4;2;1;1;1;91;90;109;1;2;1;0;0;0;46;46;48;0;2;1;1;1;1;45;44;61;34;3;1;1;0;0;1;111;5;11;11;0;7;1;4;41;114;155;16;5;20;8;38;
2011;'170613;Meixedo;6;Freguesia;345;345;127;10;208;0;0;138;207;0;293;52;0;40;40;51;46;69;48;23;9;9;10;4;229;112;0;0;346;346;346;0;0;97;97;99;94;91;94;89;6;43;37;11;4;41;33;10;6;90;1;97;0;70;24;69;10;92;5;0;64;17;11;5;10;23;203;102;101;209;104;105;5;4;6;5;5;11;97;86;92;3;3;3;3;3;2;51;49;41;2;1;3;2;2;9;46;37;51;32;3;11;8;4;0;7;80;27;22;13;0;7;1;4;53;93;136;15;7;31;30;47;
2011;'170614;Meixide;6;Freguesia;97;97;39;34;24;0;0;97;0;0;97;0;0;6;10;17;15;19;14;4;4;6;2;1;64;32;0;0;97;97;97;0;0;41;41;0;39;39;39;38;4;10;27;0;2;11;11;5;1;38;0;41;0;32;7;32;1;39;1;1;27;5;6;0;1;12;80;42;38;88;47;41;0;0;0;5;4;5;38;33;45;0;0;0;3;2;4;25;21;19;0;0;0;2;2;1;13;12;26;15;0;0;3;2;0;5;46;7;9;6;1;4;2;1;16;47;68;4;7;5;6;11;
2011;'170615;Montalegre;6;Freguesia;993;946;465;175;306;41;6;900;75;18;754;226;13;11;37;125;121;237;188;142;68;29;35;775;99;83;5;31;1231;1225;1225;0;6;645;645;47;643;643;644;640;37;214;322;72;9;149;229;108;68;523;93;646;1;324;276;235;163;582;57;7;537;209;126;56;159;261;1739;812;927;1816;856;960;50;77;83;127;109;100;1070;970;409;26;36;43;62;55;44;516;472;173;24;41;40;65;54;56;554;498;236;97;72;41;63;71;3;74;465;204;284;320;12;216;29;43;761;458;755;21;82;658;268;714;
2011;'170616;Morgade;6;Freguesia;201;201;201;0;0;0;0;200;1;0;198;3;0;23;17;22;18;29;24;20;18;18;12;2;137;60;2;0;201;201;201;0;0;94;94;2;91;88;91;85;3;25;45;21;1;24;23;12;5;93;0;94;0;57;31;55;12;89;5;0;70;21;14;5;12;26;230;114;116;228;113;115;4;6;5;4;3;13;125;112;84;0;5;3;3;2;9;68;59;34;4;1;2;1;1;4;57;53;50;43;5;2;6;2;1;4;72;34;16;14;2;16;1;4;68;93;139;21;13;34;17;63;
2011;'170617;Mourilhe;6;Freguesia;185;184;87;77;20;0;1;109;75;1;171;14;0;0;13;27;18;28;35;9;17;25;13;12;139;34;0;0;185;184;184;0;1;50;50;0;48;46;48;45;4;31;11;4;0;20;18;0;0;49;1;50;0;33;13;28;9;49;1;0;35;8;8;2;8;11;118;58;60;117;58;59;2;6;5;8;7;2;55;53;41;0;1;3;4;3;2;29;27;21;2;5;2;4;4;0;26;26;20;31;7;1;6;3;0;0;40;13;12;6;0;1;1;0;34;44;68;20;6;8;16;34;
2011;'170618;Negrões;6;Freguesia;172;172;73;99;0;0;0;170;2;0;162;10;0;17;15;16;13;22;30;16;8;12;23;55;55;30;15;17;174;174;174;0;0;70;70;4;70;70;70;69;11;41;15;3;1;19;11;7;6;70;0;70;0;43;21;45;11;63;5;2;57;17;11;4;11;20;173;78;95;177;80;97;4;7;3;8;5;10;91;81;64;2;2;3;6;3;5;37;32;30;2;5;0;2;2;5;54;49;34;49;6;2;5;5;0;4;56;20;17;12;0;3;4;5;39;75;112;10;15;14;20;30;
2011;'170619;Outeiro;6;Freguesia;132;131;85;42;4;0;1;93;39;0;120;12;0;33;8;12;11;23;15;13;12;4;1;18;25;4;83;2;135;134;134;0;1;61;61;4;58;56;58;56;7;11;33;10;2;13;13;5;6;56;0;61;0;37;19;38;6;58;3;0;50;11;11;2;6;20;150;78;72;156;82;74;1;5;1;9;8;13;81;68;59;1;3;1;5;4;9;49;40;23;0;2;0;4;4;4;32;28;36;24;4;0;4;5;0;3;63;14;15;15;0;6;2;1;58;58;87;37;5;16;14;54;
2011;'170620;Padornelos;6;Freguesia;203;203;92;5;106;0;0;137;63;3;201;2;0;9;27;28;27;38;57;13;3;0;1;2;169;32;0;0;203;203;203;0;0;52;52;20;51;46;51;44;13;25;8;6;7;23;4;3;3;50;0;52;0;33;15;38;6;50;2;0;38;15;5;3;7;16;102;43;59;124;57;67;3;1;4;5;3;2;56;54;55;1;0;2;2;1;1;29;28;23;2;1;2;3;2;1;27;26;32;23;1;2;6;0;0;1;70;9;6;7;0;2;1;1;25;56;87;13;4;8;9;23;
2011;'170621;Padroso;6;Freguesia;108;108;32;36;40;0;0;90;18;0;106;2;0;30;5;8;8;17;9;2;9;3;17;0;58;33;17;0;108;108;108;0;0;45;45;0;45;44;45;44;1;20;23;1;0;17;8;2;0;45;0;45;0;31;9;28;5;43;2;0;33;11;4;1;4;12;90;42;48;107;48;59;1;3;3;4;4;4;53;49;43;1;1;2;3;3;2;25;23;16;0;2;1;1;1;2;28;26;27;13;3;2;5;1;0;3;47;9;7;4;1;9;1;1;28;45;70;9;5;14;11;22;
2011;'170622;Paradela;6;Freguesia;150;148;136;11;1;0;2;144;4;2;142;8;0;6;24;39;28;18;16;5;8;5;1;11;127;4;8;0;150;148;148;0;2;63;63;25;62;58;62;55;7;32;20;4;4;16;8;14;7;62;0;63;0;38;21;33;7;58;5;0;40;16;6;3;7;22;134;61;73;145;66;79;3;2;5;11;11;9;82;73;42;0;1;4;3;3;6;40;34;18;3;1;1;8;8;3;42;39;24;29;3;3;4;6;0;5;53;19;12;10;2;6;2;3;31;52;99;4;10;17;15;28;
2011;'170623;Pitões das Junias;6;Freguesia;206;204;75;57;72;0;2;204;2;0;180;26;0;0;0;3;12;39;53;30;29;25;15;1;176;10;19;0;212;210;210;0;2;67;67;54;66;66;66;65;9;29;23;6;3;25;23;11;3;53;1;68;0;41;25;36;9;62;6;0;48;16;12;4;9;22;145;62;83;161;67;94;3;5;2;11;10;9;93;84;47;1;1;2;7;6;1;40;39;16;2;4;0;4;4;8;53;45;31;25;5;1;4;4;0;5;54;14;15;10;0;14;1;5;67;44;77;38;10;19;13;59;
2011;'170624;Pondras;6;Freguesia;195;195;124;17;54;0;0;193;2;0;165;30;0;3;45;49;28;32;16;9;5;6;2;24;100;70;1;0;196;196;196;0;0;55;55;42;55;53;55;53;5;20;25;5;2;11;21;14;3;51;0;55;0;38;11;34;5;50;5;0;41;14;7;2;5;20;128;57;71;131;58;73;3;2;3;8;8;6;63;57;52;1;2;1;3;3;1;30;29;21;2;0;2;5;5;5;33;28;31;21;2;3;2;3;0;6;44;14;10;15;0;4;3;2;36;54;82;12;4;20;11;30;
2011;'170625;Reigoso;6;Freguesia;230;230;155;12;63;0;0;230;0;0;215;15;0;60;14;23;39;39;18;9;12;10;6;6;137;61;26;0;232;232;232;0;0;81;81;13;80;79;80;79;17;49;15;0;3;23;32;9;1;76;1;81;0;63;13;59;8;73;7;1;55;13;6;1;8;15;171;77;94;167;75;92;1;1;3;8;5;6;68;62;86;1;1;2;2;1;2;31;29;38;0;0;1;6;4;4;37;33;48;32;1;2;6;2;1;4;93;11;8;8;0;1;7;2;29;79;121;13;6;10;10;27;
2011;'170626;Salto;6;Freguesia;1008;984;849;91;44;21;3;949;53;6;949;58;1;128;90;100;135;171;114;69;78;47;76;683;88;130;95;12;1119;1117;1117;0;2;540;540;127;537;534;537;529;48;275;175;42;6;153;169;67;41;478;15;543;1;315;174;311;96;492;48;3;418;147;78;45;91;191;1424;696;728;1429;691;738;41;42;41;90;77;68;740;672;475;21;22;21;44;37;34;373;339;210;20;20;20;46;40;34;367;333;265;203;35;31;48;53;1;39;465;175;160;130;4;82;19;35;398;527;840;73;96;229;172;314;
2011;'170627;Santo André;6;Freguesia;244;244;124;78;42;0;0;241;3;0;237;7;0;0;0;14;34;95;67;14;11;5;4;31;143;53;1;16;245;245;245;0;0;98;98;57;97;97;97;97;11;29;48;10;5;21;39;7;7;94;0;98;0;69;25;54;9;91;7;0;72;18;13;2;9;28;212;113;99;218;113;105;2;4;5;8;7;10;120;110;79;1;2;3;7;7;2;61;59;39;1;2;2;1;0;8;59;51;40;26;5;1;5;4;0;6;99;32;13;15;2;10;3;4;53;103;146;14;19;20;14;52;
2011;'170628;Vilar de Perdizes (São Miguel);6;Freguesia;466;466;182;41;243;0;0;385;74;7;406;60;0;8;27;38;49;74;93;40;58;34;45;282;85;80;18;1;467;467;467;0;0;206;206;35;206;202;206;201;12;64;99;31;3;47;54;27;26;186;0;206;0;139;57;126;28;178;25;3;142;38;26;12;27;52;452;237;215;460;240;220;10;14;10;19;15;13;224;211;183;5;11;5;9;7;7;127;120;83;5;3;5;10;8;6;97;91;100;85;11;7;12;9;1;4;191;58;44;21;0;16;8;24;108;193;282;31;29;48;40;99;
2011;'170629;Sarraquinhos;6;Freguesia;334;334;131;203;0;0;0;295;37;2;333;1;0;40;62;39;22;33;45;25;39;23;6;4;218;87;25;0;334;334;334;0;0;116;116;38;113;108;113;107;12;30;56;18;3;26;27;13;4;115;0;116;0;68;39;63;20;112;4;0;85;37;15;6;18;42;293;141;152;294;140;154;6;4;15;12;10;17;162;145;95;3;1;7;7;6;8;83;75;39;3;3;8;5;4;9;79;70;56;50;4;10;12;6;1;4;108;47;22;17;1;5;1;3;89;108;174;48;11;30;30;85;
2011;'170630;Sezelhe;6;Freguesia;160;160;62;63;35;0;0;157;2;1;140;20;0;19;16;15;14;18;25;22;21;5;5;1;135;23;1;0;161;161;161;0;0;61;61;24;59;59;59;58;1;20;30;10;6;23;7;10;6;53;0;61;0;40;17;40;10;58;3;0;38;6;11;2;10;14;133;58;75;142;63;79;2;8;5;8;7;3;60;57;59;0;2;2;4;3;1;30;29;25;2;6;3;4;4;2;30;28;34;32;6;4;7;2;1;1;44;9;28;10;1;8;0;3;41;59;82;14;7;20;22;37;
2011;'170631;Solveira;6;Freguesia;269;269;128;47;94;0;0;264;4;1;245;24;0;1;9;27;22;24;45;20;37;41;43;218;32;19;0;0;269;269;269;0;0;69;69;15;67;65;67;65;1;22;37;9;2;17;20;16;4;63;0;69;0;50;14;46;8;68;1;0;52;8;8;6;8;9;155;73;82;154;73;81;6;5;0;8;6;7;71;64;64;2;2;0;3;1;4;35;31;31;4;3;0;5;5;3;36;33;33;31;4;1;2;2;0;2;50;18;12;7;0;4;1;0;34;75;106;8;11;15;10;31;
2011;'170632;Tourém;6;Freguesia;237;236;30;96;110;1;0;220;16;1;225;7;5;12;23;21;25;26;25;17;9;29;50;126;1;2;0;108;239;238;238;0;1;62;62;73;61;61;61;61;3;22;33;4;1;26;14;2;3;60;0;63;0;44;12;45;8;60;3;0;48;11;11;2;8;22;131;63;68;151;74;77;2;3;4;11;11;6;68;62;63;1;0;3;4;4;4;35;31;31;1;3;1;7;7;2;33;31;32;20;3;3;4;4;0;5;57;21;18;12;0;5;0;3;51;68;88;28;4;19;12;45;
2011;'170633;Venda Nova;6;Freguesia;325;324;283;41;0;1;0;310;4;11;302;23;0;0;1;30;35;79;99;25;48;4;4;193;99;20;12;1;328;327;327;0;1;114;114;20;114;114;114;112;10;53;46;5;3;25;51;19;10;102;5;114;0;75;31;60;18;100;10;4;80;26;14;9;19;29;248;114;134;262;121;141;8;5;12;12;7;11;141;130;84;2;1;6;3;1;2;66;64;43;6;4;6;9;6;9;75;66;41;20;7;8;10;7;0;5;107;30;38;29;2;11;6;13;63;102;150;3;19;41;34;46;
2011;'170634;Viade de Baixo;6;Freguesia;618;614;312;301;1;1;3;568;47;3;601;15;2;210;48;89;30;75;109;16;7;17;17;233;136;112;136;1;624;620;620;0;4;251;251;74;243;241;244;232;11;103;108;29;13;79;37;32;56;227;0;252;1;144;79;133;52;246;6;0;183;54;42;16;50;71;664;339;325;675;347;328;18;23;30;49;37;25;354;329;201;11;13;15;28;21;13;190;177;90;7;10;15;21;16;12;164;152;111;107;26;17;26;18;0;16;233;93;83;48;2;27;2;4;169;234;417;27;40;102;93;155;
